0.002,0.996,0.036,0.4271
0.2457,0.0869,0.0393,0.1299
0.3208,0.0702,0.0202,0.5188
0.996,0.9047,0.0814,0.5806
0.0052,0.6423,0.0434,0.6413
0.0423,0.0869,0.0534,0.2042
0.2819,0.0482,0.0269,0.1622
0.1125,0.4617,0.0571,0.0824
0.1822,0.069,0.0235,0.1754
0.1994,0.0071,0.062,0.5745
0.0131,0.0911,0.0473,0.7423
0.0816,0.3036,0.0293,0.6389
0.0757,0.1208,0.0657,0.2987
0.0667,0.0869,0.0758,0.0823
0.1449,0.0127,0.0607,0.2766
0.131,0.0037,0.0686,0.4955
0.0157,0.0873,0.0655,0.1463
0.0343,0.0869,0.0563,0.5554
0.002,0.2194,0.0688,0.322
0.0116,0.5628,0.0676,0.7386
0.0055,0.1466,0.054,0.4641
0.0279,0.0844,0.0902,0.6001
0.008,0.1005,0.0326,0.2532
0.0387,0.1011,0.0488,0.4903
0.0219,0.0753,0.0766,0.2867
0.002,0.0992,0.0672,0.6077
0.002,0.0284,0.0419,0.2644
0.0303,0.0108,0.0772,0.747
0.0279,0.0161,0.0152,0.4207
0.0311,0.0462,0.0431,0.7533
0.0286,0.0148,0.0381,0.2902
0.028,0.0105,0.0293,0.8763
0.0048,0.0827,0.1357,0.2217
0.0251,0.0806,0.1157,0.5114
0.0048,0.0474,0.0479,0.5982
0.0131,0.0269,0.0603,0.0825
0.002,0.0979,0.0608,0.31
0.0237,0.0855,0.0673,0.654
0.023,0.0076,0.0568,0.9181
0.0196,0.0139,0.0404,0.0974
0.0179,0.0225,0.0456,0.6416
0.0214,0.0021,0.0882,0.9315
0.0157,0.0784,0.1269,0.996
0.0038,0.0699,0.0595,0.6097
0.0027,0.0428,0.0303,0.5965
0.0071,0.0907,0.0389,0.3001
0.0072,0.0536,0.0399,0.0668
0.0246,0.0118,0.036,0.3297
0.0099,0.0243,0.0361,0.2571
0.0141,0.0936,0.0851,0.7775
0.0063,0.075,0.0467,0.4739
0.004,0.0866,0.1356,0.6717
0.004,0.0254,0.0821,0.768
0.0174,0.0117,0.0729,0.0323
0.0097,0.0733,0.1543,0.5677
0.0031,0.0632,0.0507,0.519
0.0047,0.2896,0.1056,0.7769
0.0133,0.0776,0.0822,0.5378
0.0073,0.0118,0.0367,0.3162
0.004,0.0208,0.0923,0.7803
0.0116,0.0073,0.0181,0.5904
0.0068,0.0105,0.0414,0.5966
0.0102,0.0443,0.0423,0.6584
0.0074,0.0042,0.0654,0.4923
0.0039,0.0116,0.0354,0.8283
0.002,0.011,0.0422,0.6264
0.0044,0.0037,0.0499,0.4952
0.0099,0.002,0.1053,0.5231
0.0768,0.0023,0.1088,0.4696
0.0044,0.028,0.0627,0.7636
0.0033,0.018,0.0428,0.1951
0.0037,0.0341,0.2055,0.6791
0.0053,0.0045,0.0226,0.6359
0.0047,0.0075,0.0749,0.4247
0.0043,0.0114,0.0657,0.3809
0.0038,0.011,0.0437,0.4422
0.0041,0.0105,0.0224,0.9787
0.0062,0.0249,0.0625,0.799
0.0021,0.0097,0.0583,0.7436
0.0027,0.0869,0.0135,0.3763
0.0029,0.0098,0.0535,0.3799
0.0029,0.0113,0.0182,0.8102
0.002,0.0553,0.069,0.2538
0.0041,0.0213,0.0978,0.7612
0.0034,0.0103,0.09,0.7872
